"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
24887,142,"MIN",2017,24887,100,0.26,0.174,0.306,0.434,0.329,0.324,0.251,1444,5557,87.3,13.2,2221,88.6,88.04,2690,11204,13681,-0.5999999999999943,6.04,110,149,109,147,292,317,294,"-43.4","43.4",,,6235,4280,921,286,31,206,1342,21.5,567,9.1,2.0475,0.95414,0.45863,-0.25362,"91.8",169,33.3411214953271,5.981308411214954,4.105854049719326,5.94,-0.79,-0.01,2.32,0.331,256,"0.17426769",0.325,0.421,"-0.17426769",0.009,0.006000000000000005,0.013,0.005,24,
24835,158,"MIL",2022,24835,100,0.235,0.174,0.279,0.409,0.317,0.315,0.236,1271,5417,88.7,13.2,2265,89,88.98,2920,11355,13479,0,6.3,110,153,119,149,298,321,297,"-26.4","26.4",,,6097,4001,784,251,17,219,1464,24,552,9.1,2.35159,0.57697,0.31898,-0.10057,"91.7",154,39.81504623844039,8.722819295176205,5.724126619649008,5.8,-0.79,0.02,2.29,0.313,349,"0.106329777",0.315,0.396,"-0.106329777",-0.001,-0.0020000000000000018,0.013,0.002,25.7,"38.2"
24819,147,"NYY",2011,24819,100,0.263,0.181,0.292,0.444,0.345,,,1452,5518,,,,88.2,,2056,10674,14014,,,,,,,,,,"-163.5","163.5",,,6305,4467,930,267,33,222,1138,18,626,9.9,2.3004,0.73501,0.44516,-0.19672,,,0,0,0,6.13,-0.73,-0.14,2.37,0.343,0,"0.658592208",,,"-0.658592208",,,,,19.3,
24804,147,"NYY",2021,24804,100,0.237,0.169,0.285,0.407,0.317,0.33,0.245,1266,5331,89.4,12.1,2229,89.1,89.21,2999,11057,13747,0.10000000000000853,6.37,109,154,120,148,302,327,292,"-0.5","0.5",,,6046,3893,819,213,12,222,1482,24.5,607,10,2.24754,0.66945,0.37739,-0.07915,"92.3",159,42.56357564860005,9.761109684048291,6.28514720476348,5.82,-0.62,0.04,2.29,0.321,380,"0.002052088",0.329,0.425,"-0.002052088",-0.008,-0.008000000000000007,-0.018,-0.013,27.1,"41.0"
24790,112,"CHC",2023,24790,100,0.254,0.167,0.303,0.421,0.326,0.325,0.253,1399,5502,88.4,12.2,2249,89,89.22,2855,11511,13274,0.20000000000000284,6.4,111,149,118,148,296,320,295,"-56.1","56.1",,,6205,4180,904,269,30,196,1389,22.4,557,9,2.33394,0.59049,0.32256,-0.09274,"91.5",155,38.421052631578945,7.727272727272727,5.205479452054795,5.78,-0.84,0.06,2.3,0.329,323,"0.226454215",0.329,0.411,"-0.226454215",0.001,0,0.01,0.001,24.8,"38.2"
24783,109,"AZ",2010,24783,100,0.25,0.166,0.312,0.416,0.325,,,1366,5473,,,,87.9,,2850,10879,13732,,,,,,,,,,"-27.9","27.9",,,6183,4026,851,301,34,180,1529,24.7,589,9.5,2.37262,0.67943,0.37097,-0.1156,,,0,0,0,6.18,-0.72,-0.05,2.34,0.325,0,"0.112613485",,,"-0.112613485",,,,,26.2,
24779,119,"LAD",2024,24779,100,0.258,0.189,0.297,0.446,0.337,0.336,0.256,1423,5521,89.1,15.4,2258,89.5,89.8,2932,11672,13105,0.29999999999999716,6.43,112,149,122,149,300,322,297,"-110.2","110.2","69.4","7.3",6217,4247,873,291,26,233,1335,21.5,565,9.1,2.30291,0.58665,0.33773,-0.09111,"91.8",164,41.252648928655525,9.206498704968213,6.289207013028792,5.73,-0.86,0.07,2.33,0.331,391,"0.444787925",0.331,0.435,"-0.444787925",0.002,0,0.011,0.001,25.1,"37.4"
24759,114,"CLE",2017,24759,100,0.263,0.186,0.295,0.449,0.336,0.336,0.26,1449,5511,87.9,12.4,2209,88.3,87.85,2382,11157,13599,-0.3999999999999915,6.02,110,150,111,146,292,317,295,"-59.5","59.5",,,6204,4426,875,333,29,212,1153,18.6,574,9.3,2.19214,0.81997,0.46782,-0.23395,"92.1",166,35.901491188432,6.326253953908721,4.513217279174726,5.9,-0.56,0,2.26,0.335,280,"0.240163173",0.335,0.439,"-0.240163173",0.003,0,0.01,0,21.3,
24733,140,"TEX",2023,24733,100,0.263,0.19,0.31,0.453,0.34,0.336,0.257,1470,5592,89.5,14.1,2250,89.1,89.19,2844,11642,13090,0.10000000000000853,6.41,111,148,119,148,300,328,298,"-143","143",,,6285,4236,893,326,18,233,1413,22.5,581,9.2,2.33506,0.60953,0.31315,-0.13545,"91.8",163,41.595845136921625,9.08876298394712,6.125696101829754,5.76,-0.88,0.07,2.36,0.335,385,"0.577972749",0.332,0.441,"-0.577972749",0.006,0.0030000000000000027,0.012,0.004,24.4,"38.9"
24719,138,"STL",2019,24719,100,0.245,0.17,0.292,0.415,0.314,0.32,0.242,1336,5449,87.5,13.5,2262,88.6,88.37,2913,11536,13182,-0.19999999999998863,6.03,110,152,115,148,304,324,299,"14.3","-14.3",,,6152,4108,856,246,24,210,1420,23.1,546,8.9,2.33567,0.63965,0.36362,-0.05046,"91.7",167,33.95813047711782,6.937682570593963,4.632639791937581,5.85,-1.04,0.09,2.24,0.32,285,"-0.0578381",0.32,0.421,"0.0578381",0.003,0,-0.006,-0.006,25.3,
