Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2017,"CHW",6059,0.066182538,0.2305661,0.287043664,0.256121893,0.31363108,0.417195719,0.730826799,0.161073826,0.309361594,697.4076149644166,-41.005942252108476,0.3130341214098376,95.43070527597285
2017,"CLE",6234,0.096888033,0.18495348,0.523850823,0.262928688,0.338647342,0.449283251,0.787930593,0.186354563,0.295156287,838.7004944550006,78.95959402789744,0.3359310616760192,104.93688251341058
2017,"DET",6150,0.081788617,0.213495934,0.383092155,0.258279337,0.32420984,0.42386609,0.74807593,0.165586753,0.305657604,749.2640379366644,-0.23973774936141012,0.32079461824471056,97.65632065431785
2017,"KCR",6027,0.06470881,0.19346275,0.334476843,0.259393063,0.311418109,0.419617052,0.731035161,0.160223989,0.29496915,689.6529785660485,-44.860721606256575,0.3122518867338852,90.90005526412747
2017,"MIN",6261,0.094713304,0.214342756,0.441877794,0.259852438,0.334081796,0.433687241,0.767769037,0.173834803,0.305830039,804.9468339673022,41.91542915913862,0.3288697541614415,103.3050539148667
2017,"NYY",6354,0.096946805,0.218130311,0.444444444,0.26153021,0.338546603,0.446549874,0.785096477,0.185019664,0.303753417,853.0100725884797,78.64470824555154,0.33551458404951634,109.11516520558314
2017,"OAK",6126,0.09222984,0.243388834,0.378940308,0.245973645,0.319371727,0.435761346,0.755133073,0.189787701,0.293728499,755.4583725021203,8.87948959925948,0.32264622609420196,103.38158439897485
2017,"SEA",6166,0.078981511,0.205481673,0.384372533,0.258692127,0.325312957,0.423527292,0.748840249,0.164835165,0.300072833,751.2987417816969,-0.15496242643884184,0.32079858407865164,102.63801820948288
2017,"TBR",6147,0.088661135,0.250203351,0.354356306,0.244614822,0.31668299,0.42241694,0.73909993,0.177802118,0.29574468,721.7797141884242,-27.358449899705633,0.31557260671116616,98.68401630341593
2017,"TEX",6122,0.088859849,0.24387455,0.364367046,0.244198895,0.320150968,0.429834254,0.749985222,0.185635359,0.291254346,747.1893713225855,1.0979705502522563,0.32123256026913727,89.93847647179412
2017,"TOR",6154,0.088072798,0.215632109,0.40844009,0.240043644,0.312224579,0.411893071,0.72411765,0.171849427,0.275533249,700.5209613850079,-49.470296431545336,0.31157219707234807,92.59362739340988
2017,"ARI",6224,0.092866323,0.233933161,0.396978021,0.254298642,0.329398447,0.444705882,0.774104329,0.19040724,0.305727554,798.5950026731482,40.072807572363715,0.32923077882695273,95.0551164890148
2017,"ATL",6216,0.076254826,0.19047619,0.400337837,0.262714899,0.326023391,0.412428366,0.738451757,0.149713467,0.305132411,722.7574455630843,-34.78978527664496,0.3156380263737605,88.6037454133964
2017,"CHC",6283,0.098997294,0.222982651,0.443968593,0.255094614,0.337933247,0.437227074,0.775160321,0.18213246,0.30199795,816.1025540796223,50.389997553557606,0.3310095960170021,101.47136391535038
2017,"CIN",6213,0.090938355,0.213906325,0.425131677,0.253464624,0.328898263,0.432530999,0.761429262,0.179066375,0.294369029,773.9032257112747,16.721606469440832,0.3249784412628605,94.7978608106359
2017,"COL",6201,0.083696178,0.227060151,0.368607954,0.272858691,0.33773216,0.44362125,0.78135341,0.170762559,0.331572327,809.4596223910945,53.740449540843414,0.332402720186402,87.53267692565298
2017,"MIA",6248,0.077784891,0.205185659,0.379095163,0.26722599,0.330858618,0.430560514,0.761419132,0.163334524,0.312694984,774.819813264339,13.372725380389745,0.3245971734231373,101.05127458579794
2017,"HOU",6271,0.081167277,0.173337585,0.468261269,0.281767955,0.345544712,0.477811441,0.823356153,0.196043486,0.3089487,911.0554149958047,146.8053048613221,0.3486017445557222,121.1465841589379
2017,"LAD",6191,0.104829591,0.222904215,0.470289855,0.249075443,0.334469881,0.436760355,0.771230236,0.187684912,0.292847854,796.6515134696551,42.15104594572253,0.32963331570302634,104.41492208266924
2017,"MIL",6135,0.089160554,0.256071719,0.348185868,0.249314066,0.322172985,0.429120175,0.75129316,0.179806109,0.308004326,744.8377549404813,-2.83796275606624,0.321109614251844,93.65478278180734
2017,"WSN",6214,0.087222401,0.213550048,0.40844009,0.265982351,0.332198995,0.449306681,0.781505676,0.18332433,0.311143984,805.1222730438612,47.818783269395624,0.33078119529628985,98.851007046194
2017,"NYM",6169,0.085751337,0.209272167,0.409759876,0.250272232,0.320397847,0.43430127,0.754699117,0.184029038,0.286458333,753.1839871194785,1.364671313447202,0.32168675913688827,100.53948041813008
2017,"PHI",6133,0.080547855,0.231045165,0.348623853,0.24968383,0.314626963,0.408852755,0.723479718,0.159168925,0.303517587,690.2350776302867,-57.19689900099714,0.3103068584249743,87.36256843624749
2017,"PIT",6136,0.08458279,0.197685788,0.427864798,0.24386222,0.318069916,0.385672407,0.703742323,0.141810187,0.286268801,657.0939629821305,-90.70362524704899,0.3043434232778584,85.1113254546923
2017,"STL",6219,0.09535295,0.216755105,0.439910979,0.256307129,0.333765392,0.42595978,0.759725172,0.169652651,0.303778337,778.7422630116871,20.829420574062308,0.3256457822380352,100.82343544838783
