"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
787,108,"LAA",2013,23879,3.3,0.291,0.133,0.291,0.424,0.322,,,48,165,,,,89.1,,92,405,377,,,,,,,,,,"-2.5","2.5",,,210,155,35,8,1,4,31,14.8,21,10,2.1845,0.77729,0.47648,-0.09355,,,0,0,0,5.94,-1.09,-0.19,2.22,0.343,0,"0.321346887",,,"-0.321346887",,,,,22.7,
787,147,"NYY",2012,24247,3.2,0.236,0.176,0.233,0.412,0.301,,,35,148,,,,89,,78,362,425,,,,,,,,,,"4.5","-4.5",,,185,135,20,9,1,5,29,15.7,18,9.7,2.29746,0.67075,0.56566,-0.29018,,,0,0,0,6.02,-0.61,-0.16,2.27,0.304,0,"-0.56797967",,,"0.56797967",,,,,21.5,
787,143,"PHI",2010,24213,3.3,0.241,0.147,0.247,0.388,0.299,,,41,170,,,,87.9,,71,373,411,,,,,,,,,,"7.9","-7.9",,,208,159,25,11,1,4,28,13.5,16,7.7,2.37206,0.68613,0.50514,-0.15394,,,0,0,0,6.17,-0.59,-0.15,2.33,0.305,0,"-1.005463787",,,"1.005463787",,,,,19,
786,137,"SF",2017,23276,3.4,0.263,0.095,0.317,0.358,0.276,0.274,0.23,47,179,86.1,11.4,2240,89.1,88.62,109,389,397,-0.5,6.02,88,142,105,143,293,315,292,"11.9","-11.9",,,204,144,36,7,2,2,47,23,13,6.4,2.11289,0.8458,0.3157,-0.08264,"91.3",156,29.166666666666668,2.7777777777777777,1.9607843137254901,5.88,-0.89,-0.12,2.26,0.294,4,"-1.51870229",0.28,0.336,"1.51870229",0.033,0.013999999999999957,0.022,0.002,28,
786,119,"LAD",2011,23449,3.4,0.383,0.173,0.401,0.556,0.404,,,62,162,,,,87.3,,77,376,389,,,,,,,,,,"-24.9","24.9",,,208,150,44,13,0,5,32,15.4,20,9.6,2.46677,0.6262,0.39382,-0.08142,,,0,0,0,5.97,-0.59,-0.13,2.42,0.429,0,"3.171755725",,,"-3.171755725",,,,,20.5,
785,115,"COL",2013,22911,3.4,0.311,0.111,0.366,0.421,0.329,,,59,190,,,,88,,100,402,379,,,,,,,,,,"-0.2","0.2",,,219,160,45,10,1,3,44,20.1,13,5.9,2.39371,0.62464,0.30395,-0.11344,,,0,0,0,6.14,-0.78,-0.04,2.28,0.344,0,"0.026242038",,,"-0.026242038",,,,,24.9,
782,121,"NYM",2022,23987,3.3,0.244,0.163,0.243,0.407,0.288,0.303,0.238,42,172,85.5,14.7,2261,89.2,89.26,112,420,362,0.09999999999999432,6.38,88,146,108,145,291,319,295,"7.3","-7.3",,,202,152,28,7,0,7,36,17.8,12,5.9,2.34387,0.5691,0.32748,-0.06717,"91.2",159,28.947368421052634,9.210526315789473,6.9306930693069315,5.7,-0.74,-0.04,2.29,0.279,14,"-0.929667519",0.28,0.435,"0.929667519",0.006,-0.0010000000000000009,-0.028,-0.015,26.7,"35.1"
781,138,"STL",2013,23345,3.3,0.374,0.139,0.42,0.513,0.393,,,70,187,,,,88.4,,96,384,391,,,,,,,,,,"-20.1","20.1",,,222,168,52,14,0,4,36,16.2,15,6.8,2.39771,0.6099,0.59577,-0.0455,,,0,0,0,6.09,-0.93,-0.07,2.31,0.409,0,"2.570166453",,,"-2.570166453",,,,,25,
780,142,"MIN",2010,23733,3.3,0.295,0.148,0.312,0.443,0.342,,,52,176,,,,88,,65,335,445,,,,,,,,,,"-4.6","4.6",,,214,160,35,11,3,3,30,14,24,11.2,2.47923,0.57669,0.35488,-0.14252,,,0,0,0,6.03,-0.94,-0.15,2.38,0.355,0,"0.586153846",,,"-0.586153846",,,,,19.4,
779,112,"CHC",2016,25160,3.1,0.263,0.15,0.264,0.413,0.312,0.296,0.234,44,167,84.9,13,2195,89,88.5,70,362,405,-0.5,6.15,89,143,105,144,292,312,295,"1.2","-1.2",,,205,157,29,10,0,5,25,12.2,23,11.2,2.23801,0.727,0.52272,-0.16981,"91.0",159,21.019108280254777,3.821656050955414,2.9268292682926833,5.91,-0.64,0.05,2.25,0.333,6,"-0.160333761",0.32,0.374,"0.160333761",0.029,0.013000000000000012,0.039,0.016,19.3,
